NR_ADMIN_VAN,CODE_FUNCTIE_VAN,CODE_SOORT_VAN,CODE_WET_VAN,NR_ADMIN_NAAR,CODE_FUNCTIE_NAAR,CODE_SOORT_NAAR,CODE_WET_NAAR,DT_OVERGANG,CODE_OVERGANG,NAAM_OVERGANG,IND_VOLLEDIG,CODE_STAND_RECORD
"00FF00","D","VST","WPO","08JH01","D","VST","WPO",1-8-2009,"F","Fusie","J","H"
"00FL","U","SPEC","WEC","21ET","U","VOS","WVO",1-8-2002,"V","Overdracht","N","H"
"00FL00","D","VST","WEC","21ET08","D","VST","WVO",1-8-2002,"V","Overdracht","N","H"
"00FY","O","SBD","WSLOA","00BI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00GC","O","SBD","WSLOA","27QA","O","SBD","WSLOA",1-1-2003,"F","Fusie","J","H"
"00GF","O","SBD","WSLOA","00AI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00GF","O","SBD","WSLOA","00GJ","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00GN","U","SBAS","WPO","02NY","U","SBAS","WPO",1-8-2004,"F","Fusie","J","H"
"00GN00","D","VST","WPO","02NY00","D","VST","WPO",1-8-2004,"F","Fusie","J","H"
"00GU","U","BAS","WPO","14HD","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"00GU00","D","VST","WPO","14HD00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"00GW","U","BAS","WPO","18TK","U","BAS","WPO",1-8-2012,"F","Fusie","J","H"
"00GW00","D","VST","WPO","18TK00","D","VST","WPO",1-8-2012,"F","Fusie","J","H"
"00HD","U","VOS","WVO","00DI","U","VOS","WVO",1-8-2000,"F","Fusie","N","H"
"00HD00","D","VST","WVO","00DI02","D","VST","WVO",1-8-2000,"F","Fusie","N","H"
"00HD02","D","VSTS","WVO","00DI03","D","VSTS","WVO",1-8-2000,"F","Fusie","J","H"
"00HE","U","VOS","WVO","05FJ","U","VOS","WVO",1-8-1998,"F","Fusie","N","H"
"00HE00","D","VST","WVO","05FJ03","D","DIS","WVO",1-8-1998,"F","Fusie","N","H"
"00HJ","O","SBD","WSLOA","00RM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HM","O","SBD","WSLOA","00AI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HR","O","SBD","WSLOA","01WO","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HS","U","VOS","WVO","20BQ","U","VOS","WVO",1-8-1997,"F","Fusie","N","H"
"00HU","U","SPEC","WEC","17WQ","U","VOS","WVO",1-8-2002,"V","Overdracht","N","H"
"00HU00","D","VST","WEC","17WQ10","D","VSTZ","WVO",1-8-2002,"V","Overdracht","N","H"
"00HV","U","UNIV","WHW","21PN","U","UNIV","WHW",1-1-2006,"F","Fusie","J","H"
"00HV00","D","LOC","WHW","21PN00","D","LOC","WHW",1-1-2006,"F","Fusie","J","H"
"00HW","O","SBD","WSLOA","00BF","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00BI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00CH","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00ET","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00FY","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00HJ","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00HR","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00IX","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00IY","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","00RM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","01UZ","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","01VA","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","01VC","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","01WF","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","01WI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","01WO","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","01XM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","25BU","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","27QA","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00HW","O","SBD","WSLOA","27VV","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00IE","U","VOS","WVO","17JB","U","VOS","WVO",1-8-2005,"F","Fusie","J","H"
"00IE00","D","VST","WVO","17JB01","D","VST","WVO",1-8-2005,"F","Fusie","J","H"
"00IR","O","SBD","WSLOA","02ZJ","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00IX","O","SBD","WSLOA","02ZJ","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00IY","O","SBD","WSLOA","00ET","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00IY","O","SBD","WSLOA","01WO","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00JG","U","SPEC","WEC","00UY","U","SBAS","WPO",1-8-1998,"F","Fusie","N","H"
"00JG00","D","VST","WEC","00UY01","D","VST","WPO",1-8-1998,"F","Fusie","N","H"
"00JI","U","SBAS","WPO","01KY","U","SBAS","WPO",1-8-2000,"F","Fusie","N","H"
"00JK","U","SPEC","WEC","16OH","U","SBAS","WPO",1-8-1997,"F","Fusie","N","H"
"00JK00","D","VST","WEC","16OH01","D","VST","WPO",1-8-1997,"F","Fusie","N","H"
"00JL","U","SBAS","WPO","16KH","U","SBAS","WPO",1-8-2022,"F","Fusie","J","H"
"00JL00","D","VST","WPO","16KH00","D","VST","WPO",1-8-2022,"F","Fusie","J","H"
"00JO","U","SPEC","WEC","23HG","U","SBAS","WPO",1-8-1997,"F","Fusie","N","H"
"00JX","U","SBAS","WPO","03HT","U","SBAS","WPO",1-8-2019,"F","Fusie","J","H"
"00JX00","D","VST","WPO","03HT00","D","VST","WPO",1-8-2019,"F","Fusie","J","H"
"00KD","U","VOS","WVO","17VN","U","VOS","WVO",1-8-2001,"F","Fusie","J","H"
"00KD00","D","VST","WVO","17VN06","D","VST","WVO",1-8-2001,"F","Fusie","J","H"
"00KD01","D","VST","WVO","18CR04","D","DIS","WVO",1-8-2000,"F","Fusie","J","H"
"00KD02","D","VST","WVO","17VN00","D","VST","WVO",1-8-2001,"F","Fusie","J","H"
"00KL","U","SBAS","WPO","19TE","U","SBAS","WPO",1-8-1999,"F","Fusie","N","H"
"00KL","U","SBAS","WPO","26HC","D","AFAF","WPO",1-8-1998,"S","Splitsing","J","H"
"00KL00","D","VST","WPO","19TE02","D","VST","WPO",1-8-1999,"F","Fusie","N","H"
"00KS","U","ROCV","WEB","25LV","U","ROCV","WEB",1-1-1998,"F","Fusie","N","H"
"00KW","U","VOS","WVO","03WO","U","VOS","WVO",1-8-1997,"F","Fusie","N","H"
"00LB","U","HBOS","WHW","22OJ","U","HBOS","WHW",1-1-2002,"F","Fusie","J","H"
"00LE","U","VOS","WVO","02VT","U","VOS","WVO",1-8-1998,"F","Fusie","N","H"
"00LE00","D","VST","WVO","02VT06","D","VST","WVO",1-8-1998,"F","Fusie","N","H"
"00LP","U","VOS","WVO","21ET","U","VOS","WVO",1-8-1999,"F","Fusie","N","H"
"00LP00","D","VST","WVO","21ET04","D","VST","WVO",1-8-1999,"F","Fusie","N","H"
"00LP05","D","VST","WVO","14RF05","D","VST","WVO",1-8-1999,"F","Fusie","J","H"
"00LP06","D","VST","WVO","17HB02","D","VST","WVO",1-8-1999,"F","Fusie","J","H"
"00LP07","D","DIS","WVO","14RF06","D","VST","WVO",1-8-1999,"F","Fusie","J","H"
"00LY","U","VOS","WVO","31JW","U","VOS","WVO",1-8-2018,"F","Fusie","J","H"
"00LY00","D","VST","WVO","31JW00","D","VST","WVO",1-8-2018,"F","Fusie","J","H"
"00MW","U","SBAS","WPO","00VW","U","SBAS","WPO",1-8-2006,"F","Fusie","J","H"
"00MW00","D","VST","WPO","00VW00","D","VST","WPO",1-8-2006,"F","Fusie","J","H"
"00NB","U","SPEC","WEC","02XB","U","SBAS","WPO",1-8-1998,"F","Fusie","N","H"
"00NB00","D","VST","WEC","02XB01","D","VST","WPO",1-8-1998,"F","Fusie","N","H"
"00ND","U","VOS","WVO","04ZQ","U","VOS","WVO",1-8-1997,"F","Fusie","N","H"
"00NL","U","ROCV","WEB","00GT","U","ROC","WEB",1-8-1997,"F","Fusie","N","H"
"00NP","U","VOS","WVO","06HF","U","VOS","WVO",1-8-1998,"F","Fusie","N","H"
"00NP00","D","VST","WVO","06HF01","D","VST","WVO",1-8-1998,"F","Fusie","N","H"
"00NR","U","VOS","WVO","04OY","U","VOS","WVO",1-8-1997,"F","Fusie","N","H"
"00NV","U","ERK","WEB","00GT","U","ROC","WEB",1-8-1997,"F","Fusie","N","H"
"00OB02","D","VST","WVO","00OB03","D","VST","WVO",1-8-2007,"V","Overdracht","J","H"
"00OB02","D","VST","WVO","21SK01","D","VST","WVO",1-8-2007,"V","Overdracht","J","H"
"00OE","U","SBAS","WPO","17IY","U","SBAS","WPO",1-8-2004,"F","Fusie","J","H"
