NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
30UB,U,VOS,UniC school voor vwo en havo,Van Bijnkershoeklaan 2.0 ,3527XL,UTRECHT,Utrecht,Active,Regular Secondary School,11.5,2010s,,2013-08-01 to Present,2013-08-01,,52.0775703,5.098689
30UD,U,PROS,Pro-Koningsbeltweg,Koningsbeltstraat 4.0 ,1329AL,ALMERE,Flevoland,Active,Practical Education,11.5,2010s,,2013-08-01 to Present,2013-08-01,,52.3725229,5.2745723
30UV,U,VOS,Tjalling Koopmans College voor Vwo en Mavo,Easter Omwei 7.0 ,9254GM,HURDEGARYP,Friesland,Active,Regular Secondary School,11.5,2010s,,2013-08-01 to Present,2013-08-01,,53.213608,5.943800599999999
30UV,U,VOS,Tjalling Koopmans College voor Vwo en Mavo,Reidroas 2.0 ,9254JR,HURDEGARYP,Friesland,Active,Regular Secondary School,11.5,2010s,,2013-08-01 to Present,2013-08-01,,53.2176902,5.9339865
30UV,U,VOS,SvPO Hurdegaryp - Tjalling Koopmans College voor Vwo Havo en Mavo,Easter Omwei 1.0 ,9254GM,HURDEGARYP,Friesland,Active,Regular Secondary School,11.5,2010s,,2013-08-01 to Present,2013-08-01,,53.2134928,5.941472
30UV,U,VOS,SvPO Hurdegaryp - Tjalling Koopmans College voor Vwo Havo en Mavo,Reidroas 12.0 ,9254JR,HURDEGARYP,Friesland,Active,Regular Secondary School,11.5,2010s,,2013-08-01 to Present,2013-08-01,,53.2176331,5.9320232
30XF,U,VOS,De Ontdekking,Noorderdiep 99.0 ,9521BC,NIEUW-BUINEN,Drenthe,Active,Regular Secondary School,11.5,2010s,,2013-08-01 to Present,2013-08-01,,52.9613178,6.9407659
30XF,U,VOS,De Vuurvlinder,Electronicaweg 23.0 ,9503GA,STADSKANAAL,Groningen,Active,Regular Secondary School,11.5,2010s,,2013-08-01 to Present,2013-08-01,,52.9743539,6.9694959
31YV,U,VOS,British School of Amsterdam,Havenstraat 6.0 ,1075PR,AMSTERDAM,Noord-Holland,Active,Regular Secondary School,11.5,2010s,,2013-08-01 to Present,2013-08-01,,52.3500581,4.8560813
30WC,U,VOS,Guus Kieft,Amsterdamseweg 380.0 ,1182HS,AMSTELVEEN,Noord-Holland,Closed,Regular Secondary School,7.0,2010s,2010s,2012-08-01 to 2019-08-01,2012-08-01,2019-08-01,52.315262,4.8550754
30MM,U,PROS,"PrO Boxmeer, school voor Praktijkonderwijs",Stationsweg 38.0 b,5831CR,BOXMEER,Noord-Brabant,Active,Practical Education,12.5,2010s,,2012-08-01 to Present,2012-08-01,,51.64180469999999,5.9429776
30PP,U,VOS,"Eemsdelta College voor vwo, havo mavo en vbo",Sikkel 3.0 ,9932BD,DELFZIJL,Groningen,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,52.2337224,6.8842225
30PP,U,VOS,"VO Eemsdelta voor vwo, havo en vmbo",Pastorielaan 4.0 ,9901CE,APPINGEDAM,Groningen,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,53.3249149,6.872279199999999
30PP01,D,VSTS,"Eemsdelta College voor vwo, havo mavo en vbo",Singellaan 10.0 ,9628AL,SIDDEBUREN,Groningen,Active,Secondary Technical School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,53.2486585,6.8708379
30PP01,D,VSTS,"VO Eemsdelta  voor vwo, havo en vmbo",Poststraat 1.0 ,9628AA,SIDDEBUREN,Groningen,Active,Secondary Technical School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,53.248755,6.868633
30RW,U,VOS,5en5is11,Veldstraat 20.0 ,6227SZ,MAASTRICHT,Limburg,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,50.8357312,5.729539099999999
30RW,U,VOS,Nova Vita (voorheen5en5is11),Veldstraat 20.0 bis,6227SZ,MAASTRICHT,Limburg,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,50.8357312,5.729539099999999
30RW,U,VOS,Nova Vita (voorheen5en5is11),Oude Kerkstraat 10.0 a,6227SR,MAASTRICHT,Limburg,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,50.8400482,5.7267719
30NF,U,VOS,Terra Incognita,Dorpsstraat 30.0 ,6617AD,BERGHAREN,Gelderland,Closed,Regular Secondary School,2.7,2010s,2010s,2012-01-01 to 2014-10-01,2012-01-01,2014-10-01,51.8500115,5.6645186
30GC,U,VOS,Het 4e Gymnasium,Stavangerweg 902.0 ,1013AX,AMSTERDAM,Noord-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.3933513,4.8766118
30GC,U,VOS,Het 4e Gymnasium,Archangelweg 4.0 ,1013ZZ,AMSTERDAM,Noord-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.3942935,4.872836899999999
30GD,U,VOS,Stedelijk Gymnasium Socrates,Nieuwe Marnixstraat 90.0 ,2316ES,LEIDEN,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.1701135,4.4980337
30JM,U,PROS,Praktijkonderwijs Fivel College,Opwierderweg 65.0 c,9902RB,APPINGEDAM,Groningen,Active,Practical Education,13.5,2010s,,2011-08-01 to Present,2011-08-01,,53.3157667,6.8771575
30JM,U,PROS,VO Eemsdelta  praktijkonderwijs,Pastorielaan 4.0 a,9901CE,APPINGEDAM,Groningen,Active,Practical Education,13.5,2010s,,2011-08-01 to Present,2011-08-01,,53.3249149,6.872279199999999
30JN,U,VOS,Onbekend,Cort van der Lindenlaan 5.0 ,1412BW,NAARDEN,Noord-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.2854638,5.1481469
30JN,U,VOS,Volantcollege voor mavo havo vwo,Nieuwe 's-Gravelandseweg 38.0 ,1405HM,BUSSUM,Noord-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.2746808,5.1539525
30LD,U,VOS,Vrije Christelijke school Westerlee,Galgeweg 55.0 -57,2671MT,NAALDWIJK,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,51.9744945,4.2162996
30LD,U,VOS,Vrije Christelijke school Westerlee,Hofwijk 3.0 ,2675BW,HONSELERSDIJK,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.2337224,6.8842225
30MR,U,VOS,Instituut voor Nederlands Internetonderwijs,Tuinstraat 23.0 ,5121EG,RIJEN,Noord-Brabant,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,51.5901915,4.9217432
30MU,U,VOS,"Nederlandse School Watoto, ntc-vo",  ,,,,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,,
30UJ,U,VOS,IBBO,Marktstraat 27.0 ,6461CT,KERKRADE,Limburg,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,50.8643708,6.063749
31XC,U,VOS,Lycee Francais Vincent van Gogh,Scheveningseweg 237.0 ,2584AA,'S-GRAVENHAGE,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.1026422,4.2806974
31XV,U,VOS,Japanese School Amsterdam,Karel Klinkenbergstraat 137.0 ,1061AL,AMSTERDAM,Noord-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.36801390000001,4.8354499
31XX,U,VOS,International School Amsterdam,Sportlaan 45.0 ,1185TB,AMSTELVEEN,Noord-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.28911429999999,4.860546200000001
31XZ,U,VOS,AFNORTH International School,Ferdinand Bolstraat 1.0 ,6445EE,BRUNSSUM,Limburg,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,50.9349165,5.9808584
31YB,U,VOS,Deutsche Internationale Schule,Van Bleiswijkstraat 125.0 ,2582LB,'S-GRAVENHAGE,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.09452599999999,4.2804913
31YD,U,VOS,International School Eerde,Kasteellaan 1.0 ,7731PJ,OMMEN,Overijssel,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.4845031,6.4528504
31YF,U,VOS,Nord Anglia International School Rotterdam,Verhulstlaan 21.0 ,3055WJ,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,51.9637885,4.5023469
31YH,U,VOS,Stichting The Japanese School of Rotterdam,Verhulstlaan 19.0 ,3055WJ,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,51.9640776,4.5025449
31YM,U,VOS,"British School in the Netherlands, Senior School Leidschenveen",Vrouw Avenweg 422.0 ,2493WX,'S-GRAVENHAGE,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.055704,4.403135499999999
31YN,U,VOS,"British School in the Netherlands, Senior School Voorschoten",Jan van Hooflaan 3.0 ,2252BG,VOORSCHOTEN,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.12096709999999,4.431343099999999
31YR,U,VOS,Indonesian School,Rijksstraatweg 679.0 ,2245CB,WASSENAAR,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.1141209,4.3741138
31YU,U,VOS,American School of The Hague,Rijksstraatweg 200.0 ,2241BX,WASSENAAR,Zuid-Holland,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,52.1459071,4.422428399999999
30AU,U,VOS,Citadel College,Dijkstraat 7.0 ,6663AD,LENT,Gelderland,Active,Regular Secondary School,14.5,2010s,,2010-08-01 to Present,2010-08-01,,51.86969819999999,5.8561359
30AU,U,VOS,Citadel College voor vwo havo mavo vbo en lwoo,Dijkstraat 6.0 ,6663AD,LENT,Gelderland,Active,Regular Secondary School,14.5,2010s,,2010-08-01 to Present,2010-08-01,,51.86974290000001,5.855964
30BE,U,VOS,Houtens,De Slinger 48.0 ,3995DE,HOUTEN,Utrecht,Active,Regular Secondary School,14.5,2010s,,2010-08-01 to Present,2010-08-01,,52.03288879999999,5.1681624
30BE,U,VOS,Houtens,Kruisboog 1.0 ,3994AE,HOUTEN,Utrecht,Active,Regular Secondary School,14.5,2010s,,2010-08-01 to Present,2010-08-01,,52.029211,5.1836907
30EU,U,VOS,Markland College Zevenbergen,Gildelaan 82.0 ,4761BA,ZEVENBERGEN,Noord-Brabant,Active,Regular Secondary School,14.5,2010s,,2010-08-01 to Present,2010-08-01,,51.6404679,4.6058462
30EU,U,VOS,Markland College Zevenbergen,Vaandelweg 4.0 ,4761BC,ZEVENBERGEN,Noord-Brabant,Active,Regular Secondary School,14.5,2010s,,2010-08-01 to Present,2010-08-01,,51.6460635,4.607522599999999
30FF,U,PROS,Praktijkschool De Goudse Waarden,Calslaan 100.0 ,2804RT,GOUDA,Zuid-Holland,Active,Practical Education,14.5,2010s,,2010-08-01 to Present,2010-08-01,,52.0263846,4.7106998
30FF,U,PROS,Praktijkschool De Goudse Waarden,Kanaalstraat 31.0 ,2801SH,GOUDA,Zuid-Holland,Active,Practical Education,14.5,2010s,,2010-08-01 to Present,2010-08-01,,52.0152886,4.6959982
