NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
08MU01,D,ILOC,Dislocatie De Regenboog,Emmastraat 27.0 a,6431cs,27,50.9306005,5.927227999999999,6431CS,HOENSBROEK,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
05FJ09,D,ILOC,Carbooncollege locatie Rombouts,Schoolstraat 16.0 ,6443bt,16,50.9386748,5.9707744,6443BT,BRUNSSUM,Limburg,Closed,International Education Center,0.9,2000s,2000s,2007-01-01 to 2007-11-20,2007-01-01,2007-11-20,H
08LJ01,D,ILOC,Rumpenerhof,Prins Hendriklaan 382.0 ,6443ae,382,50.9403242,5.975774599999999,6443AE,BRUNSSUM,Limburg,Closed,International Education Center,22.0,1980s,2000s,1985-08-01 to 2007-08-01,1985-08-01,2007-08-01,H
05FJ08,D,ILOC,Carbooncollege,Raadhuisstraat 125.0 ,6441cp,125,50.94715230000001,5.967851599999999,6441CP,BRUNSSUM,Limburg,Closed,International Education Center,0.1,2000s,2000s,2007-08-01 to 2007-09-01,2007-08-01,2007-09-01,H
06IJ01,D,ILOC,dislocatie Tarcisius,St. Gregoriuslaan 11.0 ,6442ae,11,50.950953,5.979407,6442AE,BRUNSSUM,Limburg,Closed,International Education Center,15.0,1980s,2000s,1985-08-01 to 2000-08-01,1985-08-01,2000-08-01,H
03JL01,D,ILOC,dislocatie Titus Brandsma,De Gasperistraat 7.0 ,6441jj,7,50.9516408,5.9593583,6441JJ,BRUNSSUM,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
08QW01,D,ILOC,"Basisschool Petrus Canisius, Opvangklassen",Kerkweg 107.0 ,6155kl,107,50.9528214,5.8713983,6155KL,PUTH,Limburg,Active,International Education Center,10.5,2010s,,2014-08-01 to Present,2014-08-01,,H
16WB01,D,ILOC,"Basisschool t Reuzepas, locatie Verdistraat",Verdistraat 25.0 ,6164ck,25,50.95496079999999,5.8290409,6164CK,GELEEN,Limburg,Closed,International Education Center,3.2,2010s,2010s,2011-01-01 to 2014-03-10,2011-01-01,2014-03-10,H
16WB01,D,ILOC,"Basisschool Reuzepas, locatie Marisstraat",Marisstraat 64.0 ,6165at,64,50.9597191,5.8223943,6165AT,GELEEN,Limburg,Closed,International Education Center,3.2,2010s,2010s,2011-01-01 to 2014-03-10,2011-01-01,2014-03-10,H
06BA03,D,ILOC,De Duizendpoot loc. Frans Halsstraat,Frans Halsstraat 1.0 ,6165tv,1,50.9616734,5.8284617,6165TV,GELEEN,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
06FK01,D,ILOC,Basisschool De Brök locatie Meers,Kloosterstraat 13.0 ,6181nj,13,50.9621917,5.742827800000001,6181NJ,ELSLOO LB,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
22KH02,D,ILOC,Locatie Onderbanken,Schoolstraat 19.0 ,6451ew,19,50.9675253,5.9826234,6451EW,SCHINVELD,Limburg,Closed,International Education Center,15.6,1980s,2000s,1988-08-01 to 2004-02-20,1988-08-01,2004-02-20,H
09FY02,D,ILOC,"Openbare basisschool De Maaskei, locatie Stein",Dieterenstraat 2.0 ,6171jk,2,50.9682134,5.7736802,6171JK,STEIN,Limburg,Active,International Education Center,10.5,2010s,,2014-08-01 to Present,2014-08-01,,H
06MC01,D,ILOC,basisschool Munstergeleen,Godsdalstraat 2.0 ,6151gl,2,50.97105759999999,5.8576997,6151GL,MUNSTERGELEEN,Limburg,Closed,International Education Center,24.0,1980s,2000s,1985-08-01 to 2009-08-01,1985-08-01,2009-08-01,H
29EV00,D,ILOC,Muziekschool Odeion,Dr. Nolenslaan 8.0 ,6162ew,8,50.9717614,5.829660400000001,6162EW,GELEEN,Limburg,Closed,International Education Center,106.7,1900s,2000s,1900-01-01 to 2006-09-01,1900-01-01,2006-09-01,H
15DD01,D,ILOC,Leonardo-afdeling verbonden aan basisschool De Driesprong in Geleen,Haesselderstraat 9.0 ,6166eg,9,50.9726002,5.840531299999999,6166EG,GELEEN,Limburg,Closed,International Education Center,11.1,2000s,2020s,2009-01-01 to 2020-02-01,2009-01-01,2020-02-01,H
06BA01,D,ILOC,Locatie Lindenheuvel,Valderenstraat 5.0 ,6163gc,5,50.9799535,5.8192917,6163GC,GELEEN,Limburg,Closed,International Education Center,18.6,1980s,2000s,1985-08-01 to 2004-03-01,1985-08-01,2004-03-01,H
12QN02,D,ILOC,Parkschool voor SO/VSO-ZMLK,Watersley 7.0 ,6132ka,7,50.9800257,5.8821119,6132KA,SITTARD,Limburg,Closed,International Education Center,111.0,1900s,2010s,1900-01-01 to 2011-01-01,1900-01-01,2011-01-01,H
12QN01,D,ILOC,Parkschool voor SO/VSO-ZMLK,Watersley 3.0 ,6132ka,3,50.9800946,5.8845876,6132KA,SITTARD,Limburg,Closed,International Education Center,111.0,1900s,2010s,1900-01-01 to 2011-01-01,1900-01-01,2011-01-01,H
05JP01,D,ILOC,bs. De Avonturijn nevenvestiging,Ruys de Beerenbroucklaan 22.0 ,6129hc,22,50.9919084,5.7748116,6129HC,URMOND,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
24HX30,D,ILOC,Luzac College Sittard,Dominicanenwal 1.0 ,6131hd,1,50.9988398,5.872433099999999,6131HD,SITTARD,Limburg,Closed,International Education Center,0.2,2000s,2000s,2008-01-01 to 2008-02-25,2008-01-01,2008-02-25,H
29FM00,D,ILOC,Sittardse muziekschool,Broeksittarderweg 1.0 ,6137bh,1,50.99902429999999,5.8766889,6137BH,SITTARD,Limburg,Closed,International Education Center,106.7,1900s,2000s,1900-01-01 to 2006-09-01,1900-01-01,2006-09-01,H
02MY03,D,ILOC,het DaCapo College,Broeksittarderweg 45.0 ,6137bh,45,50.9995024,5.8804875,6137BH,SITTARD,Limburg,Closed,International Education Center,104.6,1900s,2000s,1900-01-01 to 2004-08-01,1900-01-01,2004-08-01,H
28ZK00,D,ILOC,Symbiose Limburg,Mercator 1.0 ,6135kw,1,50.99972229999999,5.8523913,6135KW,SITTARD,Limburg,Closed,International Education Center,106.7,1900s,2000s,1900-01-01 to 2006-09-01,1900-01-01,2006-09-01,H
06JS01,D,ILOC,Basisschool de Leeuwerik,Pastoor Bastinstraat 1.0 ,6142bj,1,51.00129829999999,5.8274649,6142BJ,EINIGHAUSEN,Limburg,Closed,International Education Center,23.6,1980s,2000s,1985-08-01 to 2009-03-01,1985-08-01,2009-03-01,H
04EP01,D,ILOC,"Xaveriusschool, locatie A (Overhovenerstraat)",Overhovenerstraat 31.0 ,6131bx,31,51.00137369999999,5.8648519,6131BX,SITTARD,Limburg,Closed,International Education Center,24.3,1980s,2010s,1986-09-01 to 2011-01-01,1986-09-01,2011-01-01,H
04AS01,D,ILOC,"DaCapo LWOO, loc. Eysenhegge",Valkstraat 4.0 ,6135gc,4,51.0031426,5.853179700000001,6135GC,SITTARD,Limburg,Closed,International Education Center,102.6,1900s,2000s,1900-01-01 to 2002-08-01,1900-01-01,2002-08-01,H
06YH01,D,ILOC,De Tovertuin Schakelklassen,Burg. Corbeijstraat 58.0 ,6137xt,58,51.00373510000001,5.888828,6137XT,SITTARD,Limburg,Closed,International Education Center,2.0,2010s,2010s,2017-07-15 to 2019-08-01,2017-07-15,2019-08-01,H
25JX01,D,ILOC,Faculteit HEAO,Havikstraat 5.0 ,6135ed,5,51.0056115,5.845947499999999,6135ED,SITTARD,Limburg,Closed,International Education Center,5.6,1990s,2000s,1996-01-01 to 2001-07-30,1996-01-01,2001-07-30,H
