NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
26JR02,D,VSTS,Joannesschool voor Praktijkonderwijs,Bernhardstraat 10.0 ,5831ec,10,51.646418,5.9441051,5831EC,BOXMEER,Noord-Brabant,Closed,Secondary Technical School,5.0,2000s,2010s,2007-08-01 to 2012-08-01,2007-08-01,2012-08-01,H
02QT,U,VOS,Maurick College Scholengemeenschap voor Lyceum Havo Mavo,Titus Brandsmalaan 1.0 ,5262bs,1,51.6505808,5.280873499999999,5262BS,VUGHT,Noord-Brabant,Active,Regular Secondary School,89.4,1930s,,1935-09-01 to Present,1935-09-01,,H
17BS,U,VOS,Reg Sgm Professor Zeeman V Ath Havo En Mavo,Hatfieldpark 2.0 ,4301xc,2,51.6509204,3.9077263,4301XC,ZIERIKZEE,Zeeland,Closed,Regular Secondary School,99.6,1900s,1990s,1900-01-01 to 1999-08-01,1900-01-01,1999-08-01,H
32EF,U,VOS,Wondering,Udenseweg 2.0 ,5405pa,2,51.651265,5.6407386,5405PA,UDEN,Noord-Brabant,Active,Regular Secondary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,,A
13OR03,D,VSTS,Scholengroep Noord en Midden-Zeeland,Hatfieldpark 1.0 -2,4301xc,1,51.6514302,3.9078909,4301XC,ZIERIKZEE,Zeeland,Active,Secondary Technical School,25.5,1990s,,1999-08-01 to Present,1999-08-01,,H
02DW,U,VOS,Gymnasium Bernrode,Zijlstraat 3.0 ,5473ck,3,51.6525435,5.4723539,5473CK,HEESWIJK-DINTHER,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
13OR04,D,VSTZ,Pontes Scholengroep voor Lyceum Atheneum Havo Mavo Vbo Pro en Lwoo,Jannewekken 19.0 b,4301hh,19,51.6527,3.9223551,4301HH,ZIERIKZEE,Zeeland,Closed,Secondary Branch Location,13.0,2000s,2010s,2002-08-01 to 2015-08-01,2002-08-01,2015-08-01,H
02DW,U,VOS,Gymnasium Bernrode,Abdijstraat 36.0 ,5473ag,36,51.653659,5.472445,5473AG,HEESWIJK-DINTHER,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
14FL,U,VOS,Mavo Ten Strijen,Kruidenlaan 19.0 ,4907aa,19,51.6549667,4.8730122,4907AA,OOSTERHOUT NB,Noord-Brabant,Closed,Regular Secondary School,25.0,1970s,1990s,1974-08-01 to 1999-08-01,1974-08-01,1999-08-01,H
21RW,U,VOS,Mavo De Maerle,Millsebaan 100.0 ,5403aa,100,51.6590946,5.641115699999999,5403AA,UDEN,Noord-Brabant,Closed,Regular Secondary School,11.0,1980s,1990s,1987-08-01 to 1998-08-01,1987-08-01,1998-08-01,H
06XL03,D,VSTZ,Markland College Katholieke Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo,'t Ravelijn 40.0 A,4791kc,40,51.6606892,4.5259217,4791KC,KLUNDERT,Noord-Brabant,Closed,Secondary Branch Location,19.0,2000s,2010s,2000-08-01 to 2019-08-01,2000-08-01,2019-08-01,H
06HF,U,VOS,Comeniuscollege Sgm Voor Ath Havo Mavo,Kleinveld 25.0 ,5401zw,25,51.6617354,5.6117301,5401ZW,UDEN,Noord-Brabant,Active,Regular Secondary School,46.5,1970s,,1978-08-01 to Present,1978-08-01,,H
06HF,U,VOS,Udens College voor Lyceum Havo Mavo Vbo Lwoo,President Kennedylaan 22.0 b,5402kd,22,51.6619227,5.6273911,5402KD,UDEN,Noord-Brabant,Active,Regular Secondary School,46.5,1970s,,1978-08-01 to Present,1978-08-01,,H
06HF,U,VOS,Udens College voor Lyceum Havo Mavo Vbo Lwoo,Schepenhoek 101.0 ,5403ga,101,51.6623679,5.628428299999999,5403GA,UDEN,Noord-Brabant,Active,Regular Secondary School,46.5,1970s,,1978-08-01 to Present,1978-08-01,,H
