NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00GT16,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Weena 743.0 ,3013AL,ROTTERDAM,Zuid-Holland,1998-08-01,,True,H,LOC,D,Higher Education Location,Active,26.5
00GT16,D,LOC,higher,locations,Stichting Albeda,Weena 743.0 ,3013AL,ROTTERDAM,Zuid-Holland,1998-08-01,,True,A,LOC,D,Higher Education Location,Active,26.5
00GT17,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Zuster Hennekeplein 80.0 ,3033BW,ROTTERDAM,Zuid-Holland,1998-08-01,,True,H,LOC,D,Higher Education Location,Active,26.5
00GT17,D,LOC,higher,locations,Stichting Albeda,Zuster Hennekeplein 80.0 ,3033BW,ROTTERDAM,Zuid-Holland,1998-08-01,,True,A,LOC,D,Higher Education Location,Active,26.5
00GT18,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Aleyda van Raephorstlaan 245.0 ,3054CR,ROTTERDAM,Zuid-Holland,1998-08-01,2012-05-02,False,H,LOC,D,Higher Education Location,Historical,13.8
00GT19,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Baljuwstraat 2.0 ,3039AK,ROTTERDAM,Zuid-Holland,1998-08-01,,True,H,LOC,D,Higher Education Location,Active,26.5
00GT19,D,LOC,higher,locations,Stichting Albeda,Baljuwstraat 2.0 ,3039AK,ROTTERDAM,Zuid-Holland,1998-08-01,,True,A,LOC,D,Higher Education Location,Active,26.5
00GT20,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Sportlaan 90.0 ,3078WR,ROTTERDAM,Zuid-Holland,1998-08-01,,True,H,LOC,D,Higher Education Location,Active,26.5
00GT20,D,LOC,higher,locations,Stichting Albeda,Sportlaan 90.0 ,3078WR,ROTTERDAM,Zuid-Holland,1998-08-01,,True,A,LOC,D,Higher Education Location,Active,26.5
00GT21,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Catullusweg 440.0 ,3076KH,ROTTERDAM,Zuid-Holland,1998-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,3.0
