NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF
00MV00,D,VST,Chr Sgm Etty Hillesum V Ath Havo Mavo Vbo Ivbo,Drs. F. Bijlweg 6.0 ,1784MC,DEN HELDER,Noord-Holland,Active,Primary Branch Location,56.9,1960s,,1968-03-06 to Present,1968-03-06,
19TZ,U,SPEC,Meentsch Openb Sch V Buo Aan Zml Kinderen,P.C. Hooftlaan 99.0 ,9673GV,WINSCHOTEN,Groningen,Active,Special Education,57.0,1960s,,1968-02-01 to Present,1968-02-01,
00MS,U,SBAS,Prof Waterinkschool,Gramsbergerweg 50.0 A,7772CX,HARDENBERG,Overijssel,Active,Special Primary Education,57.1,1960s,,1968-01-01 to Present,1968-01-01,
02UP00,D,VST,Marnix College Avo Sgm V Ath Havo Mavo,Gildestraat 1.0 ,6711DM,EDE GLD,Gelderland,Active,Primary Branch Location,57.1,1960s,,1968-01-01 to Present,1968-01-01,
02UP00,D,VST,Marnix College Avo Scholengemeenschap voor Atheneum Havo Mavo,Prins Bernhardlaan 30.0 ,6713MC,EDE,Gelderland,Active,Primary Branch Location,57.1,1960s,,1968-01-01 to Present,1968-01-01,
02UP01,D,VST,Marnix College Scholengemeenschap voor Atheneum Havo Mavo,Prins Bernhardlaan 25.0 ,6713MA,EDE,Gelderland,Active,Primary Branch Location,57.1,1960s,,1968-01-01 to Present,1968-01-01,
03AF,U,SBAS,School voor Speciaal Basisonderwijs Willem vd Velden,Van Alkemadehof 56.0 ,3031PB,ROTTERDAM,Zuid-Holland,Active,Special Primary Education,57.1,1960s,,1968-01-01 to Present,1968-01-01,
03AF,U,SBAS,Chr Speciaal Basisonderwijs Bergkristal,Bergsingel 132.0 ,3037GM,ROTTERDAM,Zuid-Holland,Active,Special Primary Education,57.1,1960s,,1968-01-01 to Present,1968-01-01,
20DD00,D,VST,Gemeentelijk Gymnasium,Vaartweg 54.0 ,1217SV,HILVERSUM,Noord-Holland,Active,Primary Branch Location,57.1,1960s,,1968-01-01 to Present,1968-01-01,
19SC,U,SBAS,Scholengemeenschap Voor So De Wissel,Boerhaavelaan 298.0 ,2334EZ,LEIDEN,Zuid-Holland,Active,Special Primary Education,57.1,1960s,,1967-12-29 to Present,1967-12-29,
18BS,U,SBAS,Sch De Sleutel,Prinsen Bolwerk 3.0 ,2011MA,HAARLEM,Noord-Holland,Closed,Special Primary Education,37.0,1960s,2000s,1967-08-01 to 2004-08-01,1967-08-01,2004-08-01
18BS,U,SBAS,School voor Speciaal Basisonderwijs De Sleutel,Oude Zijlvest 27.0 ,2011VR,HAARLEM,Noord-Holland,Closed,Special Primary Education,37.0,1960s,2000s,1967-08-01 to 2004-08-01,1967-08-01,2004-08-01
19TW,U,SBAS,Dr Albert Schweitzersch,Korhoenlaan 1.0 ,3136ST,VLAARDINGEN,Zuid-Holland,Closed,Special Primary Education,44.0,1960s,2010s,1967-08-01 to 2011-08-01,1967-08-01,2011-08-01
18BV,U,SPEC,Albert Schweitzerschool,Planetenlaan 168.0 ,2024EW,HAARLEM,Noord-Holland,Closed,Special Education,49.0,1960s,2010s,1967-08-01 to 2016-08-01,1967-08-01,2016-08-01
18BV,U,SPEC,Albert Schweitzerschool,Frederik Hendriklaan 73.0 ,2012SG,HAARLEM,Noord-Holland,Closed,Special Education,49.0,1960s,2010s,1967-08-01 to 2016-08-01,1967-08-01,2016-08-01
18EC,U,SPEC,Prof Dr Gunningschool,Planetenlaan 13.0 ,2024EN,HAARLEM,Noord-Holland,Active,Special Education,57.5,1960s,,1967-08-01 to Present,1967-08-01,
18GX,U,SBAS,Min Vd Leeuwschool,Houtmanpad 25.0 ,2015AB,HAARLEM,Noord-Holland,Active,Special Primary Education,57.5,1960s,,1967-08-01 to Present,1967-08-01,
18QX,U,SBAS,Hildebrandschool,Laan van Parijs 2.0 ,2034EG,HAARLEM,Noord-Holland,Active,Special Primary Education,57.5,1960s,,1967-08-01 to Present,1967-08-01,
18QX,U,SBAS,School voor Speciaal Basisonderwijs Hildebrand,Van Zeggelenplein 31.0 B,2032KA,HAARLEM,Noord-Holland,Active,Special Primary Education,57.5,1960s,,1967-08-01 to Present,1967-08-01,
20QY00,D,VST,Stedelijk Gymnasium,Prinsenhof 3.0 ,2011TR,HAARLEM,Noord-Holland,Active,Primary Branch Location,57.5,1960s,,1967-08-01 to Present,1967-08-01,
20RC00,D,VST,Gem Schoter Scholengemeenschap voor Atheneum Havo en Mavo,Sportweg 9.0 ,2024CN,HAARLEM,Noord-Holland,Active,Primary Branch Location,57.5,1960s,,1967-08-01 to Present,1967-08-01,
20RF00,D,VST,Coornhertlyc Gem Scholengemeenschap Lyceum Havo Mavo,Lyceumlaan 1.0 ,2012WT,HAARLEM,Noord-Holland,Active,Primary Branch Location,57.5,1960s,,1967-08-01 to Present,1967-08-01,
00KM,U,SPEC,Scholengroep Twente Speciaal Specialisten in Onderwijs,Burg van Dussenplein 4.0 ,7551EE,HENGELO OV,Overijssel,Active,Special Education,57.7,1960s,,1967-05-01 to Present,1967-05-01,
00KM,U,SPEC,Attendiz,Welbergweg 20.0 ,7556PE,HENGELO OV,Overijssel,Active,Special Education,57.7,1960s,,1967-05-01 to Present,1967-05-01,
00KM,U,SPEC,Het Penta College,Sportlaan Driene 8.0 -10,7552HA,HENGELO OV,Overijssel,Active,Special Education,57.7,1960s,,1967-05-01 to Present,1967-05-01,
00KM,U,SPEC,Twents Vakcollege 't Woolde,Bandoengstraat 51.0 ,7556TE,HENGELO OV,Overijssel,Active,Special Education,57.7,1960s,,1967-05-01 to Present,1967-05-01,
00KV01,D,VST,KSE (Katholieke Scholengemeenschap Etten-Leur e.o.),Kerkwerve 42.0 ,4873CJ,ETTEN-LEUR,Noord-Brabant,Closed,Primary Branch Location,49.3,1960s,2010s,1967-04-20 to 2016-08-01,1967-04-20,2016-08-01
00KV00,D,VST,Katholiek Scholengemeenschap voor Ongedeeld HAVO MAVO Lyceum,Stijn Streuvelslaan 42.0 ,4873EB,ETTEN-LEUR,Noord-Brabant,Active,Primary Branch Location,57.8,1960s,,1967-04-20 to Present,1967-04-20,
06RJ,U,SPEC,Boslust Christelijke School voor Zeer Moeilijk Lerende Kinderen,Jhr.Repelaerlaan 2.0 ,7731AN,OMMEN,Overijssel,Active,Special Education,58.1,1960s,,1967-01-01 to Present,1967-01-01,
20RG,U,SBAS,Harm V Sleensch,Cloese 12.0 ,3191ED,HOOGVLIET ROTTERDAM,Zuid-Holland,Closed,Special Primary Education,38.0,1960s,2000s,1966-08-01 to 2004-08-01,1966-08-01,2004-08-01
00DI00,D,VST,Nienoordcollege Algemene Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo,Waezenburglaan 51.0 ,9351HC,LEEK,Groningen,Active,Primary Branch Location,58.5,1960s,,1966-08-01 to Present,1966-08-01,
00DI00,D,VST,regionale scholengemeenschap de Borgen,Waezenburglaan 51.0 a,9351HC,LEEK,Groningen,Active,Primary Branch Location,58.5,1960s,,1966-08-01 to Present,1966-08-01,
00DI01,D,VST,Regionale Scholengemeenschap De Borgen,H. Scheepstrastraat 1.0 ,9301HJ,RODEN,Drenthe,Active,Primary Branch Location,58.5,1960s,,1966-08-01 to Present,1966-08-01,
00DI01,D,VST,R.S.G. de Borgen,Burchtlaan 1.0 ,9301TJ,RODEN,Drenthe,Active,Primary Branch Location,58.5,1960s,,1966-08-01 to Present,1966-08-01,
02XJ01,D,VST,Reggesteyn Chr Sgm Voor Ath Havo Mavo Vbo Ivbo,Willem de Clercqstraat 7.0 ,7443XG,NIJVERDAL,Overijssel,Closed,Primary Branch Location,55.5,1960s,2020s,1966-01-28 to 2021-08-01,1966-01-28,2021-08-01
02XJ00,D,VST,Reggesteyn Chr Sgm Voor Ath Havo Mavo Vbo Ivbo,Noetselerbergweg 20.0 ,7441BK,NIJVERDAL,Overijssel,Active,Primary Branch Location,59.0,1960s,,1966-01-28 to Present,1966-01-28,
02XJ02,D,VST,Reggesteyn Chr Sgm Voor Ath Havo Mavo Vbo Ivbo,Wierdensestraat 121.0 ,7461BE,RIJSSEN,Overijssel,Active,Primary Branch Location,59.0,1960s,,1966-01-28 to Present,1966-01-28,
02XJ02,D,VST,Reggesteijn Christelijke Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo,Wierdensestraat 126.0 ,7461BL,RIJSSEN,Overijssel,Active,Primary Branch Location,59.0,1960s,,1966-01-28 to Present,1966-01-28,
02XJ02,D,VST,Reggesteijn Christelijke Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo,Cattelaar 2.0 ,7461PK,RIJSSEN,Overijssel,Active,Primary Branch Location,59.0,1960s,,1966-01-28 to Present,1966-01-28,
21HI,U,SPEC,School Voor Avond Blo,Jacob Marisstraat 1.0 ,7944EM,MEPPEL,Drenthe,Closed,Special Education,41.0,1960s,2000s,1966-01-01 to 2007-01-01,1966-01-01,2007-01-01
02YR,U,SPEC,Prof W J Bladergroen Sch,Mw. Bahler-Boermalaan 6.0 A,9765AP,PATERSWOLDE,Drenthe,Active,Special Education,59.4,1960s,,1965-09-01 to Present,1965-09-01,
02YR,U,SPEC,Prof W J Bladergroenschool,Goudlaan 1.0 ,9743CA,GRONINGEN,Groningen,Active,Special Education,59.4,1960s,,1965-09-01 to Present,1965-09-01,
04BF,U,SPEC,Rafaelschool voor zmlk,Attleeplantsoen 39.0 ,3527BA,UTRECHT,Utrecht,Active,Special Education,59.4,1960s,,1965-09-01 to Present,1965-09-01,
04BF,U,SPEC,"Rafael, school voor zml",Lanslaan 10.0 ,3526XH,UTRECHT,Utrecht,Active,Special Education,59.4,1960s,,1965-09-01 to Present,1965-09-01,
19ST,U,SBAS,Prof Kohnstammsch,Meeuwenstraat 2.0 ,3136HA,VLAARDINGEN,Zuid-Holland,Active,Special Primary Education,59.5,1960s,,1965-08-01 to Present,1965-08-01,
19ST,U,SBAS,School voor Speciaal Basisonderwijs De Kameleon,Reigerlaan 9.0 ,3136JJ,VLAARDINGEN,Zuid-Holland,Active,Special Primary Education,59.5,1960s,,1965-08-01 to Present,1965-08-01,
19VO,U,SPEC,Mytylsch Prins Johan Friso,Dilgtplein 1.0 a,9751NJ,HAREN GN,Groningen,Active,Special Education,59.5,1960s,,1965-08-01 to Present,1965-08-01,
19EE00,D,VST,Gem Mavo Sch,Burg Cambier v Nootenln 1.0 A,4001DP,TIEL,Gelderland,Closed,Primary Branch Location,36.2,1960s,2000s,1965-06-01 to 2001-08-01,1965-06-01,2001-08-01
14NG,U,SBAS,Ruimte 2e Lom Sch,Marne 127.0 ,1186PJ,AMSTELVEEN,Noord-Holland,Closed,Special Primary Education,37.3,1960s,2000s,1965-04-15 to 2002-08-01,1965-04-15,2002-08-01
20GF,U,SBAS,Everardus Witte Lom Sch,Molenbuurt 9.0 ,1811KD,ALKMAAR,Noord-Holland,Active,Special Primary Education,60.4,1960s,,1964-09-01 to Present,1964-09-01,
20GF,U,SBAS,Everardus Witte LOM School,Slochterwaard 176.0 ,1824KV,ALKMAAR,Noord-Holland,Active,Special Primary Education,60.4,1960s,,1964-09-01 to Present,1964-09-01,
21GQ,U,SBAS,T Behouden Huys,Marco Pololaan 485.0 ,3526GH,UTRECHT,Utrecht,Active,Special Primary Education,60.4,1960s,,1964-09-01 to Present,1964-09-01,
19OT,U,SPEC,De Bleyde Capel,Lijstersingel 22.0 ,2902JD,CAPELLE AAN DEN IJSSEL,Zuid-Holland,Closed,Special Education,34.0,1960s,1990s,1964-08-01 to 1998-08-01,1964-08-01,1998-08-01
00KK,U,SPEC,Mytylschool De Vlij,Dr. L.L. Zamenhoflaan 5.0 ,3312AX,DORDRECHT,Zuid-Holland,Active,Special Education,60.6,1960s,,1964-06-24 to Present,1964-06-24,
00KK,U,SPEC,Mytylschool De Kiem,De Sitterstraat 9.0 ,3318AA,DORDRECHT,Zuid-Holland,Active,Special Education,60.6,1960s,,1964-06-24 to Present,1964-06-24,
02CH,U,SPEC,Guyotschool A,Rijksstraatweg 63.0 ,9752AC,HAREN GN,Groningen,Closed,Special Education,51.6,1960s,2010s,1964-01-01 to 2015-08-01,1964-01-01,2015-08-01
17VV,U,SBAS,So St Bernardus,Willem Vliegenstraat 5.0 ,6271DA,GULPEN,Limburg,Active,Special Primary Education,61.4,1960s,,1963-09-01 to Present,1963-09-01,
17VV,U,SBAS,School voor Speciaal Basisonderwijs St Bernardus,Landsraderweg 15.0 ,6271NT,GULPEN,Limburg,Active,Special Primary Education,61.4,1960s,,1963-09-01 to Present,1963-09-01,
00VS,U,SPEC,De Viergang School voor Speciaal Onderwijs,A.H. Kooistrastraat 130.0 ,2441CP,NIEUWVEEN,Zuid-Holland,Closed,Special Education,37.1,1960s,2000s,1963-06-20 to 2000-08-01,1963-06-20,2000-08-01
02YT,U,SPEC,Mytylsch Ariane De Ranitz,Blauwe-Vogelweg 11.0 ,3585LK,UTRECHT,Utrecht,Active,Special Education,62.1,1960s,,1963-01-01 to Present,1963-01-01,
20CN00,D,VST,Sgm Het Zaanlands School V Lyc Havo Mavo Vbo Ivbo,Westzijde 211.0 G,1506GD,ZAANDAM,Noord-Holland,Active,Primary Branch Location,62.1,1960s,,1963-01-01 to Present,1963-01-01,
20CN00,D,VST,SGM Het Zaanlands School voor LYC HAVO MAVO VBO LWOO,Vincent van Goghweg 42.0 ,1506JD,ZAANDAM,Noord-Holland,Active,Primary Branch Location,62.1,1960s,,1963-01-01 to Present,1963-01-01,
20CN02,D,VST,Sgm Het Zaanlands School V Lyc Havo Mavo Vbo Ivbo,Nieuwendamstraat 6.0 ,1507JE,ZAANDAM,Noord-Holland,Active,Primary Branch Location,62.1,1960s,,1963-01-01 to Present,1963-01-01,
16PB,U,SPEC,ZMLK School St Jan Baptist,Krichelstraat 8.0 ,6466AS,KERKRADE,Limburg,Active,Special Education,62.3,1960s,,1962-10-01 to Present,1962-10-01,
16PB,U,SPEC,ZMLK School St Jan Baptist,Heistraat 78.0 ,6467LR,KERKRADE,Limburg,Active,Special Education,62.3,1960s,,1962-10-01 to Present,1962-10-01,
16PB,U,SPEC,ZMLK School St Jan Baptist,Schoolstraat 81.0 ,6466HV,KERKRADE,Limburg,Active,Special Education,62.3,1960s,,1962-10-01 to Present,1962-10-01,
02RC,U,SBAS,Herman Broerenschool Speciaal Onderwijs,Zilverschoonplein 38.0 ,4621CD,BERGEN OP ZOOM,Noord-Brabant,Active,Special Primary Education,62.7,1960s,,1962-05-25 to Present,1962-05-25,
20JA,U,SBAS,Aart Vd Leeuwschool,Van Ruysbroekstraat 1.0 ,2531TG,'S-GRAVENHAGE,Zuid-Holland,Closed,Special Primary Education,48.3,1960s,2010s,1962-04-01 to 2010-08-01,1962-04-01,2010-08-01
20JA,U,SBAS,SSBO Het Age,Bresterstraat 11.0 ,2523XC,'S-GRAVENHAGE,Zuid-Holland,Closed,Special Primary Education,48.3,1960s,2010s,1962-04-01 to 2010-08-01,1962-04-01,2010-08-01
01NJ00,D,VST,Agrar Opleid Centrum Noord,Onderduikersstraat 1.0 ,9727CD,GRONINGEN,Groningen,Closed,Primary Branch Location,62.4,1960s,2020s,1962-03-09 to 2024-08-01,1962-03-09,2024-08-01
01NJ00,D,VST,Agrarisch Opleidingcentrum Terra,Hereweg 101.0 ,9721AA,GRONINGEN,Groningen,Closed,Primary Branch Location,62.4,1960s,2020s,1962-03-09 to 2024-08-01,1962-03-09,2024-08-01
01NJ01,D,VST,Agrarisch Opleidings Centrum Noord,Warfstraat 1.0 ,9951BS,WINSUM GN,Groningen,Closed,Primary Branch Location,62.4,1960s,2020s,1962-03-09 to 2024-08-01,1962-03-09,2024-08-01
20BQ00,D,VST,Het Mill Hill College Scholengemeenschap voor LYC HAVO MAVO,Venneweg 42.0 ,5051BP,GOIRLE,Noord-Brabant,Active,Primary Branch Location,63.0,1960s,,1962-01-03 to Present,1962-01-03,
16VM00,D,VST,Herlecollege Sgm V Mavo Vbo Ivbo,Burg. de Hesselleplein 31.0 ,6411CH,HEERLEN,Limburg,Active,Primary Branch Location,63.1,1960s,,1962-01-01 to Present,1962-01-01,
16VM00,D,VST,Herlecollege Sgm V Mavo Vbo Ivbo,Heldevierlaan 5.0 ,6415SB,HEERLEN,Limburg,Active,Primary Branch Location,63.1,1960s,,1962-01-01 to Present,1962-01-01,
20XC,U,SBAS,SSBO De Kans,Thomas van Aquinostraat 2.0 ,1064NE,AMSTERDAM,Noord-Holland,Active,Special Primary Education,64.0,1960s,,1961-02-01 to Present,1961-02-01,
04AN,U,SPEC,De Ziep,Marsweg 49.0 ,6941BH,DIDAM,Gelderland,Active,Special Education,64.1,1960s,,1961-01-01 to Present,1961-01-01,
00QH00,D,VST,SISWO,Oudezijds Achterburgwal 128.0 ,1012DT,AMSTERDAM,Noord-Holland,Closed,Primary Branch Location,42.7,1960s,2000s,1960-11-03 to 2003-08-01,1960-11-03,2003-08-01
02SW,U,SPEC,St Bernadette,Ruwaardstraat 15.0 ,5342AH,OSS,Noord-Brabant,Active,Special Education,64.3,1960s,,1960-10-01 to Present,1960-10-01,
20JF,U,SBAS,Valentynschool,Paddepad 6.0 ,2554HZ,'S-GRAVENHAGE,Zuid-Holland,Active,Special Primary Education,64.3,1960s,,1960-10-01 to Present,1960-10-01,
20JF,U,SBAS,School voor Speciaal Basisonderwijs De Haagse Beek,Bentelostraat 59.0 ,2545NV,'S-GRAVENHAGE,Zuid-Holland,Active,Special Primary Education,64.3,1960s,,1960-10-01 to Present,1960-10-01,
20JM,U,SPEC,Haagse Mytylschool de Piramide,Melis Stokelaan 1185.0 ,2541GA,'S-GRAVENHAGE,Zuid-Holland,Active,Special Education,64.4,1960s,,1960-09-04 to Present,1960-09-04,
02WQ,U,SBAS,A Van Dokkumschool,Prof E Dirk Wiersmastr 3.0 ,9713GH,GRONINGEN,Groningen,Closed,Special Primary Education,38.9,1960s,1990s,1960-09-01 to 1999-08-01,1960-09-01,1999-08-01
08QQ,U,SBAS,Sio Hoogvenne,Sint Josephstraat 102.0 ,5017GK,TILBURG,Noord-Brabant,Closed,Special Primary Education,46.9,1960s,2000s,1960-09-01 to 2007-08-01,1960-09-01,2007-08-01
14WT,U,SPEC,De Wingerd,Reggestraat 1.0 ,9725KH,GRONINGEN,Groningen,Active,Special Education,64.4,1960s,,1960-09-01 to Present,1960-09-01,
14WT,U,SPEC,De Wingerd,De Verbetering 5.0 ,9744DZ,GRONINGEN,Groningen,Active,Special Education,64.4,1960s,,1960-09-01 to Present,1960-09-01,
20RE,U,SBAS,C Leeflangsch,Willem Hedaweg 3.0 ,3043AZ,ROTTERDAM,Zuid-Holland,Closed,Special Primary Education,59.0,1960s,2010s,1960-08-01 to 2019-08-01,1960-08-01,2019-08-01
12XR,U,SBAS,De Rank Katholieke School v SO/MLK,Van Oldeneellaan 18.0 ,4902ZC,OOSTERHOUT NB,Noord-Brabant,Active,Special Primary Education,64.5,1960s,,1960-07-20 to Present,1960-07-20,
17JB00,D,VST,Eykhagencollege Scholengemeenschap voor Ath Havo En Mavo,Eijkhagenlaan 31.0 ,6371XA,LANDGRAAF,Limburg,Active,Primary Branch Location,65.1,1960s,,1960-01-01 to Present,1960-01-01,
17JB00,D,VST,"Charlemagne College voor VWO (ath.-gymn.), havo, vmbo, vmbo-t, lwoo",Dormansberg 19.0 ,6371XE,LANDGRAAF,Limburg,Active,Primary Branch Location,65.1,1960s,,1960-01-01 to Present,1960-01-01,
19QB,U,SBAS,Petraschool,Faunuslaan 19.0 ,5631KN,EINDHOVEN,Noord-Brabant,Active,Special Primary Education,65.1,1960s,,1960-01-01 to Present,1960-01-01,
19QK,U,SPEC,Dr Itardschool,Vermeerstraat 42.0 ,8021VC,ZWOLLE,Overijssel,Active,Special Education,65.2,1950s,,1959-11-26 to Present,1959-11-26,
19QK,U,SPEC,De Twijn/Dr Itardschool,Dokter Hengeveldweg 2.0 ,8025AK,ZWOLLE,Overijssel,Active,Special Education,65.2,1950s,,1959-11-26 to Present,1959-11-26,
02ME00,D,VST,Rk Sgm Tabor Voor Lyc Havo Mavo Vbo Ivbo,Berkhouterweg 5.0 ,1624NS,HOORN NH,Noord-Holland,Active,Primary Branch Location,65.4,1950s,,1959-09-01 to Present,1959-09-01,
02ME00,D,VST,Rooms Katholieke Scholengemeenschap Tabor voor Lyceum Havo Mavo Vbo Lwoo,Dampten 24.0 ,1624NR,HOORN NH,Noord-Holland,Active,Primary Branch Location,65.4,1950s,,1959-09-01 to Present,1959-09-01,
02ME01,D,VST,Rk Sgm Tabor Voor Lyc Havo Mavo Vbo Ivbo,De Keyzerstraat 1.0 ,1624BX,HOORN NH,Noord-Holland,Active,Primary Branch Location,65.4,1950s,,1959-09-01 to Present,1959-09-01,
02ME02,D,VST,Rk Sgm Tabor Voor Lyc Havo Mavo Vbo Ivbo,Bouwsteen 1.0 ,1625PD,HOORN NH,Noord-Holland,Active,Primary Branch Location,65.4,1950s,,1959-09-01 to Present,1959-09-01,
17VP00,D,VST,Peellandcollege Sgs V Ath En Havo,Burgemeester Roefslaan 9.0 ,5753GX,DEURNE,Noord-Brabant,Active,Primary Branch Location,65.4,1950s,,1959-09-01 to Present,1959-09-01,
17VP00,D,VST,Instelling voor ATH HAVO MAVO VBO LWOO Deurne,Vloeieindsedreef 5.0 ,5753SM,DEURNE,Noord-Brabant,Active,Primary Branch Location,65.4,1950s,,1959-09-01 to Present,1959-09-01,
20IF,U,SPEC,Speciaal Onderwijs Voortgezet Speciaal Onderwijs Catharina,Smidserweg 4.0 ,6419CP,HEERLEN,Limburg,Active,Special Education,65.4,1950s,,1959-09-01 to Present,1959-09-01,
02YP,U,SPEC,Mytylschool De Trappenberg,Crailoseweg 116.0 ,1272EX,HUIZEN,Noord-Holland,Active,Special Education,65.4,1950s,,1959-08-27 to Present,1959-08-27,
02YP,U,SPEC,Mytylschool De Trappenberg,Soestdijkerstraatweg 129.0 C,1213VX,HILVERSUM,Noord-Holland,Active,Special Education,65.4,1950s,,1959-08-27 to Present,1959-08-27,
19HM,U,SBAS,St Paulusschool,Dufaystraat 19.0 ,1075GS,AMSTERDAM,Noord-Holland,Closed,Special Primary Education,60.0,1950s,2010s,1959-08-07 to 2019-08-01,1959-08-07,2019-08-01
19TU,U,SBAS,Prof Dr Ph A Kohnstamm School Lom,Laapersveld 23.0 ,1213VB,HILVERSUM,Noord-Holland,Active,Special Primary Education,65.5,1950s,,1959-08-01 to Present,1959-08-01,
19TU,U,SBAS,Regionaal Samenwerkingsverband en Orthopedagogisch Onderwijsinstituut,Laapersboog 9.0 ,1213VC,HILVERSUM,Noord-Holland,Active,Special Primary Education,65.5,1950s,,1959-08-01 to Present,1959-08-01,
02ZX,U,SPEC,Mytylsch Tilburg,Swaardvenstraat 75.0 ,5048AV,TILBURG,Noord-Brabant,Active,Special Education,66.4,1950s,,1958-09-01 to Present,1958-09-01,
02ZX,U,SPEC,Mytylsch Tilburg,Professor Stoltehof 1.0 ,5022KE,TILBURG,Noord-Brabant,Active,Special Education,66.4,1950s,,1958-09-01 to Present,1958-09-01,
01NA00,D,VST,IPC Plant,Zandlaan 29.0 ,6717LN,EDE,Gelderland,Closed,Primary Branch Location,42.4,1950s,2000s,1958-08-20 to 2001-01-01,1958-08-20,2001-01-01
20CQ00,D,VST,Atlas College Ryswyk voor Lyc Havo Mavo Vbo,Karmozijnstraat 2.0 ,2284GA,RIJSWIJK ZH,Zuid-Holland,Active,Primary Branch Location,66.5,1950s,,1958-08-01 to Present,1958-08-01,
16TJ,U,SPEC,De Wilgenborgh,Bessemoerstraat 6.0 ,9741AJ,GRONINGEN,Groningen,Closed,Special Education,44.4,1950s,2000s,1958-03-04 to 2002-08-01,1958-03-04,2002-08-01
02WR,U,SBAS,Fiduciaschool,Distributiestraat 1.0 ,9728CR,GRONINGEN,Groningen,Active,Special Primary Education,66.9,1950s,,1958-03-04 to Present,1958-03-04,
14WU,U,SBAS,De Kimkiel,Korreweg 215.0 -217,9714AL,GRONINGEN,Groningen,Active,Special Primary Education,66.9,1950s,,1958-03-04 to Present,1958-03-04,
14WU,U,SBAS,School voor Speciaal Basisonderwijs De Kimkiel,Korreweg 215.0 ,9714AL,GRONINGEN,Groningen,Active,Special Primary Education,66.9,1950s,,1958-03-04 to Present,1958-03-04,
14WU,U,SBAS,School voor Speciaal Basisonderwijs De Kimkiel,Kluiverboom 9.0 ,9732KZ,GRONINGEN,Groningen,Active,Special Primary Education,66.9,1950s,,1958-03-04 to Present,1958-03-04,
02UV00,D,VST,Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo,H Roland Holststr 5.0 ,9721GS,GRONINGEN,Groningen,Active,Primary Branch Location,67.4,1950s,,1957-09-01 to Present,1957-09-01,
02UV00,D,VST,Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo,Vondelpad 1.0 -2,9721LX,GRONINGEN,Groningen,Active,Primary Branch Location,67.4,1950s,,1957-09-01 to Present,1957-09-01,
02UV00,D,VST,Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo,Vondelpad 1.0 ,9721LX,GRONINGEN,Groningen,Active,Primary Branch Location,67.4,1950s,,1957-09-01 to Present,1957-09-01,
02UV08,D,VST,Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo,Magnoliastraat 1.0 ,9741CS,GRONINGEN,Groningen,Active,Primary Branch Location,67.4,1950s,,1957-09-01 to Present,1957-09-01,
18XR00,D,VST,Rythovius College Scholengemeenschap voor Lyc Havo Mavo,Bospoort 1.0 ,5521CK,EERSEL,Noord-Brabant,Active,Primary Branch Location,67.4,1950s,,1957-09-01 to Present,1957-09-01,
19HY00,D,VST,Burg Walda Sgs V Mavo En Lhno,Ballumerweg 20.0 ,9163GB,NES GEM AMELAND,Friesland,Active,Primary Branch Location,67.5,1950s,,1957-08-01 to Present,1957-08-01,
19HY00,D,VST,Burg Walda Scholengemeenschap voor MAVO en VBO,Ballumerweg 24.0 ,9163GB,NES GEM AMELAND,Friesland,Active,Primary Branch Location,67.5,1950s,,1957-08-01 to Present,1957-08-01,
02QP00,D,VST,St Willibrord Gymnasium,Beukenstraat 80.0 ,5753GD,DEURNE,Noord-Brabant,Active,Primary Branch Location,67.5,1950s,,1957-07-25 to Present,1957-07-25,
00SR,U,SPEC,Sint Jozef,Bredaseweg 570.0 ,5036NB,TILBURG,Noord-Brabant,Closed,Special Education,48.3,1950s,2000s,1957-05-01 to 2005-08-01,1957-05-01,2005-08-01
00NE00,D,VST,Gs Jan Van Brabant Mavo Met Dakpanklas,Deltaweg 205.0 ,5709AB,HELMOND,Noord-Brabant,Active,Primary Branch Location,68.4,1950s,,1956-09-01 to Present,1956-09-01,
01FX,U,SPEC,Zmlk School De Brug,Karel Boddenweg 1.0 ,5044EL,TILBURG,Noord-Brabant,Active,Special Education,68.4,1950s,,1956-09-01 to Present,1956-09-01,
02TZ00,D,VST,Rooms Katholieke Scholengemeenschap St Michaelcollege voor Atheneum en Havo,Leeghwaterweg 7.0 ,1509BS,ZAANDAM,Noord-Holland,Active,Primary Branch Location,68.4,1950s,,1956-09-01 to Present,1956-09-01,
16RH00,D,VST,Het Rynlands Lyceum Sgm Vwo Havo,Apollolaan 1.0 ,2341BA,OEGSTGEEST,Zuid-Holland,Active,Primary Branch Location,68.4,1950s,,1956-09-01 to Present,1956-09-01,
01BO,U,SBAS,St Paulussch Vr Mlk,Sparrenlaan 5.0 ,7822EM,EMMEN,Drenthe,Active,Special Primary Education,68.9,1950s,,1956-03-01 to Present,1956-03-01,
