NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF
09PZ,U,BAS,Basisschool De Rank,Putterhaag 2.0 ,3993BG,HOUTEN,Utrecht,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PZ,U,BAS,Het Mozaïek,Glazeniersgilde 18.0 ,3994BM,HOUTEN,Utrecht,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QA,U,BAS,Kon Beatrixschool,Rosweydelaan 1.0 ,3454BL,DE MEERN,Utrecht,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QA,U,BAS,Koningin Beatrixschool,Laan 1954 6.0 ,3454CR,DE MEERN,Utrecht,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QC,U,BAS,Oecumenische Basisschool De Binnendijk,Oude Zijds Burgwal 8.0 ,1141AA,MONNICKENDAM,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QG,U,BAS,Rooms Katholieke Basisschool Sint Theresia,Dorpsstraat 173.0 ,1749AC,WARMENHUIZEN,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QG,U,BAS,Rooms Katholieke Basisschool De Doorbraak,Doorbraak 24.0 ,1749AM,WARMENHUIZEN,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QJ,U,BAS,St Nicolaas,Kromstraat 12.0 ,5554NH,VALKENSWAARD,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QP,U,BAS,Basisschool Prinses Beatrix,Sportlaan 10.0 ,9411BG,BEILEN,Drenthe,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QQ,U,BAS,Marienbornschool,Marienbergweg 28.0 ,6862ZM,OOSTERBEEK,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QR,U,BAS,De Smithoek,Smitstraat 12.0 ,7683BE,DEN HAM OV,Overijssel,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QR,U,BAS,De Smithoek,Roelofsbrink 12.0 ,7683CK,DEN HAM OV,Overijssel,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QY,U,BAS,De Oosterpoort,Populierenlaan 9.0 ,5283CZ,BOXTEL,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QY,U,BAS,Basisschool Spelelier,Dr.de Brouwerlaan 74.0 ,5283EE,BOXTEL,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09QZ,U,BAS,Openbare Basisschool De Biezenkring,Veld 40.0 ,5103HG,DONGEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RA,U,BAS,Basisschool De Vlonder,De Meenthe 26.0 ,8051KV,HATTEM,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RG,U,BAS,Openbare Basisschool De Hoef,Burg Teijssenlaan 33.0 ,5142PG,WAALWIJK,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RO,U,BAS,Basisschool Looschool,Bettinkdijk 1.0 ,7437RA,BATHMEN,Overijssel,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RP,U,BAS,Openbare Basisschool Klim-Op,Dorpsweg 126.0 A,4223NH,HOORNAAR,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RP,U,BAS,Openbare Basisschool Klim-Op,Dirk IV-plein 35.0 ,4223NJ,HOORNAAR,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RQ,U,BAS,Basisschool Op d'n Esch,Meidoornstraat 36.0 ,7151ZT,EIBERGEN,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RR,U,BAS,Openbare Basisschool Vinckhuysen,Kanaaldijk 3.0 ,1486MG,WEST-GRAFTDIJK,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RS,U,BAS,Obs Pieter V Thuyl,Prof. Dr. Obbinkstraat 3.0 ,9423PR,HOOGERSMILDE,Drenthe,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09RU,U,BAS,Openbare Basisschool De Duinroos,Flemingstraat 180.0 ,2041VP,ZANDVOORT,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09SF,U,BAS,Basisschool De Kring,Stellendaal 15.0 ,6228GC,MAASTRICHT,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09SF,U,BAS,IKC ZIEZO!,Borghaag 25.0 ,6228EX,MAASTRICHT,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09SG,U,BAS,Openbare Basisschool Blokstoeke,Oranjestraat 4.0 ,7676BH,WESTERHAAR-VRIEZENVEENSE,Overijssel,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09SG,U,BAS,Openbare Basisschool Blokstoeke,Oranjestraat 2.0 b,7676BH,WESTERHAAR-VRIEZENVEENSE,Overijssel,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09SQ,U,BAS,Christelijke Constantijnschool,Botter 2.0 ,3448KA,WOERDEN,Utrecht,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09ST,U,BAS,Rooms Katholieke Basisschool 't Meesterwerk,De Meesterstraat 40.0 ,3119PJ,SCHIEDAM,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09SW,U,BAS,De Regenboog,Noordendijk 264.0 ,3312AM,DORDRECHT,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09SW,U,BAS,De Regenboog,Noordendijk 250.0 ,3311RR,DORDRECHT,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09SX,U,BAS,Christelijke Basisschool De Regenboog,Pr Beatrixlaan 34.0 ,3958XK,AMERONGEN,Utrecht,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09TB,U,BAS,De Bron,Henry Woodstraat 70.0 ,7558CP,HENGELO OV,Overijssel,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09TC,U,BAS,Dr Martin Luther Kingschool voor Protestants Christelijk Basisonderwijs,Bertrand Russellplaats 7.0 -9,3069CA,ROTTERDAM,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09TE,U,BAS,Ds Harmen Doornveldschool,Jan Arendsland 5.0 ,7951LD,STAPHORST,Overijssel,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
