NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00IE,U,VOS,secondary,main,Brandenbergcollege VMBO-LWOO,Graafstraat 10.0 ,6371XS,LANDGRAAF,Limburg,1900-01-01,2005-08-01,False,H,VOS,U,Regular Secondary School,Historical,105.6
00IP,U,VOS,secondary,main,Katholiek Sscholengemeenschap Hoofddorp voor Lyceum HAVO en MAVO,Assumburg 10.0 ,2135BA,HOOFDDORP,Noord-Holland,1986-08-01,,True,H,VOS,U,Regular Secondary School,Active,38.5
00IP,U,VOS,secondary,main,Katholiek Scholengemeenschap Hoofddorp voor Lyceum HAVO en MAVO,Assumburg 10.0 ,2135BA,HOOFDDORP,Noord-Holland,1986-08-01,,True,H,VOS,U,Regular Secondary School,Active,38.5
00IP,U,VOS,secondary,main,Katholiek Scholengemeenschap Hoofddorp voor Lyceum HAVO en MAVO,Assumburg 10.0 ,2135BA,HOOFDDORP,Noord-Holland,1986-08-01,,True,A,VOS,U,Regular Secondary School,Active,38.5
00JR,U,VOS,secondary,main,Scholengemeenschap Spieringshoek voor Gymnasium Atheneum en HAVO,Van der Brugghenlaan 2.0 ,3118LA,SCHIEDAM,Zuid-Holland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00JR,U,VOS,secondary,main,Scholengemeenschap Spieringshoek voor Gymnasium Atheneum en HAVO,Van der Brugghenlaan 2.0 ,3118LA,SCHIEDAM,Zuid-Holland,1900-01-01,,True,A,VOS,U,Regular Secondary School,Active,125.1
00JT,U,VOS,secondary,main,Geref Sgm Guido De Bres Vwo Havo Mavo Vbo Ivbo,Paladijnenweg 251.0 ,3813DH,AMERSFOORT,Utrecht,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00JT,U,VOS,secondary,main,Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO,Paladijnenweg 251.0 ,3813DH,AMERSFOORT,Utrecht,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00JT,U,VOS,secondary,main,Gereformeerde Scholengemeenschap Guido voor Lyceum HAVO MAVO VBO LWOO,Paladijnenweg 251.0 ,3813DH,AMERSFOORT,Utrecht,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00JT,U,VOS,secondary,main,Gereformeerde Scholengemeenschap Guido voor Lyceum HAVO MAVO VBO LWOO,Paladijnenweg 251.0 ,3813DH,AMERSFOORT,Utrecht,1900-01-01,,True,A,VOS,U,Regular Secondary School,Active,125.1
