NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
22KA01,D,ULOC,cbs De Westerkim,Anna de Waalstraat 15.0 ,1506WW,ZAANDAM,Noord-Holland,Active,University Branch,36.5,1980s,,1988-08-01 to Present,1988-08-01,,52.0876728,4.8850649
22NC,U,UNIV,Open Universiteit,Valkenburgerweg 167.0 ,6419AT,HEERLEN,Limburg,Active,Research University,36.5,1980s,,1988-08-01 to Present,1988-08-01,,50.8791188,5.9600927
22NC,U,UNIV,Open Universiteit,Valkenburgerweg 177.0 ,6419AT,HEERLEN,Limburg,Active,Research University,36.5,1980s,,1988-08-01 to Present,1988-08-01,,50.8780325,5.9601884
24YE,U,HBOS,Bouman College,M. Gandhilaan 29.0 ,1069NC,AMSTERDAM,Noord-Holland,Closed,University of Applied Sciences,11.6,1980s,2000s,1988-07-21 to 2000-02-18,1988-07-21,2000-02-18,52.35496999999999,4.777263599999999
24YE,U,HBOS,Stichting Hoger Onderwijs Bedrijfskundige Informatiekunde,Blauwburgwal 7.0 ,1015AS,AMSTERDAM,Noord-Holland,Closed,University of Applied Sciences,11.6,1980s,2000s,1988-07-21 to 2000-02-18,1988-07-21,2000-02-18,52.376442,4.8906401
23NE00,D,LOC,Stichting Vakschool voor het Reisbureaubedrijf,Noorderweg 68.0 ,1221AB,HILVERSUM,Noord-Holland,Closed,Higher Education Branch,15.1,1980s,2000s,1988-07-01 to 2003-08-01,1988-07-01,2003-08-01,52.2295179,5.1796086
24VP,U,HBOS,Stichting Nederlands Bijbel- Instituut,Moezeldreef 400.0 ,3561GD,UTRECHT,Utrecht,Closed,University of Applied Sciences,17.2,1980s,2000s,1988-06-13 to 2005-09-01,1988-06-13,2005-09-01,52.1136493,5.1230503
22EG00,D,LOC,Edukatieve Werkplaats Fryslan,Zaailand 94.0 A,8911BN,LEEUWARDEN,Friesland,Closed,Higher Education Branch,15.6,1980s,2000s,1988-01-01 to 2003-08-01,1988-01-01,2003-08-01,53.1998223,5.7918523
22LP00,D,LOC,Informatica Opleiding Voor Vrouwen,Donizettilaan 1.0 A,2324BE,LEIDEN,Zuid-Holland,Closed,Higher Education Branch,16.6,1980s,2000s,1988-01-01 to 2004-08-01,1988-01-01,2004-08-01,52.1407758,4.476100499999999
22OJ02,D,LOC,Hogeschool Rotterdam E O,S.M. Hugo van Gijnweg 6.0 ,3317JM,DORDRECHT,Zuid-Holland,Closed,Higher Education Branch,20.2,1980s,2000s,1988-01-01 to 2008-04-01,1988-01-01,2008-04-01,51.79567369999999,4.668513799999999
22OJ05,D,LOC,Hs Rotterdam Eo Academie V Bouwkunst Groningen,Gedempte Zuiderdiep 158.0 ,9711HN,GRONINGEN,Groningen,Closed,Higher Education Branch,20.2,1980s,2000s,1988-01-01 to 2008-04-01,1988-01-01,2008-04-01,53.2147885,6.5617296
22OJ05,D,LOC,Hogeschool Rotterdam en Omgeving Academie voor Bouwkunst,Zuiderkuipen 19.0 ,9711HR,GRONINGEN,Groningen,Closed,Higher Education Branch,20.2,1980s,2000s,1988-01-01 to 2008-04-01,1988-01-01,2008-04-01,53.2152331,6.5608778
